"Group.1","Group.2","tbodyaccmean()x","tbodyaccmean()y","tbodyaccmean()z","tgravityaccmean()x","tgravityaccmean()y"
"1","LAYING",0.22159824394,-0.0405139534294,-0.11320355358,-0.24888179828,0.70554977346
"2","LAYING",0.281373403958333,-0.0181587397583333,-0.107245610416667,-0.509754238125,0.752536639375
"3","LAYING",0.275516852741935,-0.0189556785048387,-0.101300477506452,-0.241758478064516,0.837032099677419
"4","LAYING",0.263559214981481,-0.0150031841055556,-0.110688150314815,-0.420664662222222,0.915165104259259
"5","LAYING",0.278334325576923,-0.0183042123269231,-0.107937603673077,-0.483470597692308,0.954890346153846
"6","LAYING",0.248656520140351,-0.0102529170561404,-0.133119570368421,-0.47670987877193,0.956593814210526
"7","LAYING",0.250176694038462,-0.0204411516884615,-0.101361036576923,-0.502814250576923,0.393444278076923
"8","LAYING",0.261254282907407,-0.0212281733881481,-0.102245365611111,-0.405930036111111,0.589922434814815
"9","LAYING",0.2591955368,-0.020526821662,-0.10754972144,-0.5802528348,-0.1191541962
"10","LAYING",0.280230574137931,-0.024294484137931,-0.117168642362069,-0.453069737586207,-0.139297681034483
"11","LAYING",0.280592970877193,-0.0176598052315789,-0.108786578070175,-0.134832031403509,0.943017941403509
"12","LAYING",0.260113433,-0.0175203917146667,-0.108160125666667,-0.3785920653,0.8033788345
"13","LAYING",0.276716360483871,-0.020440454366129,-0.104331864532258,-0.156852206467742,0.656400944354839
"14","LAYING",0.233275439803922,-0.0113424652490196,-0.0868333315509804,-0.145483631627451,0.48539692745098
"15","LAYING",0.2894756525,-0.0166296542054167,-0.118530240291667,-0.1719930545,0.899242553055556
"16","LAYING",0.274227162571429,-0.0166103510562857,-0.107310493242857,-0.206783742242857,-0.0199270225714286
"17","LAYING",0.269780085577465,-0.0168462006729577,-0.107006279704225,-0.19913309,0.658792072253521
"18","LAYING",0.274691576923077,-0.0173937684615385,-0.107698927907692,-0.220600509076923,0.719755403692308
"19","LAYING",0.272653733493976,-0.0171426864421687,-0.10898146186747,-0.680043155060241,0.725646622771084
"20","LAYING",0.239507882205882,-0.0144406281132353,-0.104274322538235,-0.472431415573529,0.864882956617647
"21","LAYING",0.271325472455556,-0.0184233048415556,-0.103253832233333,-0.174349174822222,0.599992678
"22","LAYING",0.279959721194444,-0.0142629864502778,-0.110800924652778,-0.418494577083333,0.632484075694444
"23","LAYING",0.274038007986111,-0.0216553835833333,-0.104256776291667,-0.391564962777778,0.438434067361111
"24","LAYING",0.272850494930556,-0.0173555210111111,-0.107236237236111,-0.359292534027778,0.738430699305556
"25","LAYING",0.250791828613699,-0.0188943663671233,-0.100428830260274,-0.461102531369863,0.620658919917808
"26","LAYING",0.271645864540789,-0.0191895728026316,-0.105002540289474,-0.621309715263158,0.803015011578947
"27","LAYING",0.274102492432432,-0.0179867611216216,-0.107699732837838,-0.530434604864865,0.567879494054054
"28","LAYING",0.2759134825,-0.0167537858225,-0.1083448529625,-0.490334541875,0.1440732745
"29","LAYING",0.287295196811594,-0.0171965484202899,-0.109462068173913,-0.346789842753623,0.807535373478261
"30","LAYING",0.281033900571429,-0.0194494098614286,-0.1036581505,-0.344737755285714,0.732661247714286
"1","SITTING",0.261237565425532,-0.00130828765170213,-0.104544182255319,0.831509933404255,0.204411592680851
"2","SITTING",0.27708735173913,-0.0156879937282609,-0.109218272456522,0.940477273043478,-0.105630024498783
"3","SITTING",0.257197599134615,-0.00350299841730769,-0.0983579203269231,0.901098984615385,0.127303379245962
"4","SITTING",0.27153827992,-0.007163065158,-0.10587459588,0.8693030064,0.211622539936894
"5","SITTING",0.273694139545455,-0.00990083527045455,-0.108540300265909,0.880731443863636,0.168445524
"6","SITTING",0.276778487454545,-0.0145911615290909,-0.110127728709091,0.933692934909091,0.0682628663363636
"7","SITTING",0.284674637291667,-0.01461097580375,-0.122464597625,0.969147824375,0.00608846646041667
"8","SITTING",0.267491472934783,-0.00672550621304348,-0.104461049130435,0.832453878043478,0.240095117065217
"9","SITTING",0.24832674354,-0.02701677698,-0.07537846886,0.9163245106,-0.0414258228938
"10","SITTING",0.270612056481481,-0.015042681852037,-0.104253238796296,0.791887198148148,-0.041260775
"11","SITTING",0.276590197358491,-0.0149195616754717,-0.112840218339623,0.871963798301887,0.213716305739623
"12","SITTING",0.275007224901961,-0.0157892988523529,-0.106307228960784,0.926228975490196,0.0830509010823529
"13","SITTING",0.274328499591837,-0.00587732936326531,-0.0972465110836735,0.92557651244898,0.101769752489796
"14","SITTING",0.279990577037037,-0.00870565463888889,-0.100401490425926,0.939038759814815,-0.0364533962277778
"15","SITTING",0.27290337979661,-0.0117188472271186,-0.11366125320339,0.89036426220339,0.210849305016949
"16","SITTING",0.280768574492754,-0.0102497939956522,-0.0891404038405797,0.942457377971014,-0.086588253942029
"17","SITTING",0.2773570196875,-0.014156274084375,-0.11362408509375,0.94488374765625,-0.002814673171875
